iso3,Country Name,Unit,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
CPV,Cape Verde,US$ Mn,10,11,15,20,29,41,54,65,87,99,122,209,304,352,286,278,368,414,463,419
CAF,Central African Republic,US$ Mn,,,,,,,,,,6.4,5,8,8.4,9,4.5,11,11,11,,
CHL,Chile,US$ Mn,911,931,1103,1105,911,819,799,898,883,1095,1109,1213,1477,1674,1604,1645,1889,2150,2181,2252
CHN,China,US$ Mn,8730,10200,12074,12602,14098,16231,17792,20385,17406,25739,29296,33949,37233,40843,39675,45814,48464,50028,51664,56913
COL,Colombia,US$ Mn,657,1120,1043,928,927,1030,1217,967,893,1061,1539,1915,1993,2342,2440,2797,3010,3460,3611,3825
COM,Comoros,US$ Mn,,,,,,,,,,,24,27,30,37,32,35,42,39,,
COG,Congo,US$ Mn,14,11,10,9,13,12,22,25,29,22,40,45,54,,61,63,72,73,38,
CRI,Costa Rica,US$ Mn,681,710,742,914,1098,1302,1173,1161,1293,1459,1671,1707,2026,2283,1815,1999,2152,2488,2441,2865
CIV,Cote D'Ivoire,US$ Mn,89,93,90,98,100,49,53,51,69,82,83,93,103,116,151,201,180,172,181,
HRV,Croatia,US$ Mn,1349,2014,2523.1,2733.4,2493,2758,3335,3811,6310,6727,7370,7990,9249,11214,8992,8069,9348,8683,9512,9863
CUB,Cuba,US$ Mn,963,1171,1311,1556,1695,1737,1692,1633,1846,1915,2322,2127,2141,2090,1899,2025,2283,2326,2325,2367
CUW,Cura̤ao,US$ Mn,,,,,,,,,,,,,327,378,361,385,453,543,583,627
CYP,Cyprus,US$ Mn,1798,1681,1659,1718,1911,1941,1993,1959,2097,2241,2318,2381,2686,2779,2195,2108,2594,2574,2888,
CZE,Czech Republic,US$ Mn,2880,4079,3620,3894,3153,2973,3104,2964,3566,4187,4813,5884,6915,8214,7241,7172,8096,7456,7042,6822
COD,Democratic Republic of the Congo,US$ Mn,,,,,,,,,,,3.2,3.1,0.7,0.7,24,10.7,11.4,6.9,8.4,0.35
DNK,Denmark,US$ Mn,3691,3420,3156,3236,3698,3671,4003,4791,5271,5652,5293,5562,5978,6281,5617,5704,6366,6135,6490,7002
DJI,Djibouti,US$ Mn,5.4,4.6,4.2,9.3,7.6,8.1,8.6,8.9,6.9,6.8,7.1,9.8,6.8,7.8,16,18,19.2,20.5,21.6,
DMA,Dominica,US$ Mn,42,44,48,47,51,48,46,46,52,61,57,72,74,76,77,94,105,78,102,126
DOM,Dominican Republic,US$ Mn,1571,1781,2099,2153,2483,2860,2798,2730,3128,3152,3518,3917,4064,4166,4049,4163,4391,4687,5064,5637
ECU,Ecuador,US$ Mn,255,281,290,291,343,402,430,447,406,462,486,490,623,742,670,781,843,1033,1246,1482
EGY,Egypt,US$ Mn,2684,3204,3727,2565,3903,4345,3800,3764,4584,6125,6851,7591,9303,10985,10755,12528,8707,9940,6047,7208
SLV,El Salvador,US$ Mn,85,86,149,206,222,217,201,245,382,453,361,382,482,425,319,390,415,558,621,821
EST,Estonia,US$ Mn,357,484,473,539,549,508,507,555,671,887,971,1024,1036,1193,1090,1065,1256,1221,1626,1817
ETH,Ethiopia,US$ Mn,16,23,22,37,47,57,51,72,114,174,168,162,176,377,329,522,758,607,,
FJI,Fiji,US$ Mn,291,298,317,248,280,189,205,260,345,423,485,480,499,658,503,635,724,730,722,
FIN,Finland,US$ Mn,1640,1636,1639,1630,1521,1406,1437,1577,1869,2067,2180,2380,2837,3232,2777,3040,3823,3874,4048,3599
FRA,France,US$ Mn,27587,28352,27402,29490,31239,32855,32181,35011,39389,44895,43947,46502,54210,57229,49576,46466,55115,53349,56463,57668
PYF,French Polynesia,US$ Mn,,,,,,,,372,480,523,530,463,537,522,440,405,460,438,458,
GAB,Gabon,US$ Mn,17,10,19,23,15,20,15,18,15,10,9,,,,,,,,,
GMB,Gambia,US$ Mn,28,66,75,,,,,,56,47,58,66,85,80,63,74,83,88,,
GEO,Georgia,US$ Mn,,,47,188,118,97,117,126,147,177,241,313,384,447,476,659,955,1411,1720,1787
DEU,Germany,US$ Mn,18036,17616,17702,18365,18231,18611,18031,19278,23125,27613,29121,32888,36101,39915,34724,34564,38902,38068,41285,43269
GHA,Ghana,US$ Mn,11,13,15,284,304,335,351,358,414,466,836,861,908,919,768,620,694,914,853,897
GRC,Greece,US$ Mn,4135,3723,3773,6188,8786,9219,9155,9909,10766,12715,13334,14402,15550,17416,14681,12479,14801,13216,16087,17813
GRD,Grenada,US$ Mn,76,79,78,83,88,93,83,91,104,86,71,94,129,127,112,112,117,122,120,
GTM,Guatemala,US$ Mn,213,216,266,314,356,482,562,620,621,630,791,919,1055,1335,1359,1378,1350,1419,1479,1564
GIN,Guinea,US$ Mn,0.9,6.4,0.1,0.9,1.7,2,0.1,,,,,,0.2,1.5,2.8,2,2.1,1.41,,
GNB,Guinea-Bissau,US$ Mn,,,3.1,,,,2.7,2.3,1.8,1,1.6,2.8,28.4,38.2,12,13.3,14.1,6.7,17.4,
GUY,Guyana,US$ Mn,33,109,112,108,106,75,61,49,26,27,35,37,50,59,35,80,95,64,77,79
HTI,Haiti,US$ Mn,90,96,107,131,135,128,105,108,96,93,80,126,190,360,416,383,456,447,546,578
HND,Honduras,US$ Mn,80,115,146,168,208,260,256,301,364,414,463,515,546,619,616,625,637,679,608,630
HKG,Hong Kong China,US$ Mn,9604,11994,9979,5651,5493,5868,5904,7410,7072,8918,10179,11509,13566,15018,15978,21689,27038,31205,36108,39243
HUN,Hungary,US$ Mn,2928,3562,3797,3646,3565,3733,4154,3728,4061,3914,4120,4254,4739,6443,5976,5587,5929,5057,5362,5868
ISL,Iceland,US$ Mn,186,176,173,207,222,227,232,256,319,370,413,478,601,624,550,562,751,865,1076,1367
IND,India,US$ Mn,2582,2831,2890,2949,3010,3460,3198,3102,4463,6170,7493,8634,10730,11832,11136,14490,17708,17972,18397,19700
IDN,Indonesia,US$ Mn,5229,6184,6648,4255,4352,4975,5277,5285,4037,4798,4522,4448,5346,7377,5598,6958,7997,8324,9119,10261
IRN,Iran Islamic Republic of,US$ Mn,67,19,16,490,403,467,891,1357,1033,1044,791,1216,1677,1737,2055,2438,2350,1114,1294,
IRQ,Iraq,US$ Mn,18,15,14,15,1,2,15,45,,,168,144,516,845,1405,1660,1543,1634,,
IRL,Ireland,US$ Mn,2211,2470,2578,3297,2621,2615,2791,3097,3862,4375,4782,5369,6074,6356,4960,4086,4212,3867,4426,4862
ISR,Israel,US$ Mn,2993,3053,3295,3157,4304,4114,2560,2145,2132,2476,2866,3262,3752,4758,4444,5106,5316,5446,5666,5695
ITA,Italy,US$ Mn,28731,30017,29714,29809,28350,27493,25822,26873,31247,35378,35319,38257,42660,46191,40375,38438,43241,40960,43829,45547
JAM,Jamaica,US$ Mn,1069,1092,1131,1197,1280,1333,1232,1209,1355,1438,1545,1870,1910,1976,1925,2001,2013,2069,2074,2255
JPN,Japan,US$ Mn,3224,4081,4329,3743,3431,3373,3306,3497,8848,11265,12430,8470,9345,10820,10329,13224,11000,14581,15093,18812
JOR,Jordan,US$ Mn,660,744,774,853,795,723,700,1048,1062,1330,1441,2060,2311,2943,2911,3585,3425,4061,4117,4376
KAZ,Kazakhstan,US$ Mn,122,199,289,407,363,356,452,622,564,718,701,838,1014,1012,963,1005,1209,1347,1344,1321
KEN,Kenya,US$ Mn,423,462,655,725,705,283,309,276,347,486,579,687,917,752,690,800,926,935,881,811
KIR,Kiribati,US$ Mn,,,,,,,,,,,,2.7,3.8,3.8,3.9,4.3,4.9,3.2,3.3,2.9
KOR,Korea Republic of,US$ Mn,5150,4880,4731,6908,6841,6834,6384,5936,5358,6069,5806,5725,6116,9751,9804,10328,12476,13429,14629,18147
KWT,Kuwait,US$ Mn,121,184,188,207,92,98,106,117,118,178,165,205,223,257,355,289,320,426,297,369
KGZ,Kyrgyzstan,US$ Mn,5,4,7,8,14,15,24,36,48,76,73,167,346,514,253,160,356,434,530,423
LAO,Lao People'S Democratic Republic,US$ Mn,51,62,58,95,82,114,104,107,74,119,139,158,189,276,268,382,406,451,596,642
LVA,Latvia,US$ Mn,20,215,192,182,118,131,119,161,222,267,341,480,672,801,724,640,771,745,865,954
LBN,Lebanon,US$ Mn,,,,,,,,4284,6374,5411,5532,4981,5216,5819,6774,7861,6545,6328,5872,6272
LSO,Lesotho,US$ Mn,27,32,32,24,23,18,16,14,21,26,27,29,31,30,30,23,24,22,17,17
LBR,Liberia,US$ Mn,,,,,,,,,,59,67,124,131,158,123,12,232,,,91
LBY,Libya,US$ Mn,2,2,2,7,27,75,78,181,205,218,250,190,74,74,50,60,,,,
LTU,Lithuania,US$ Mn,77,316,360,460,550,391,383,505,638,776,920,1038,1154,1248,972,958,1321,1317,1374,1383
LUX,Luxembourg,US$ Mn,1695,1640,1639,1634,1697,1686,1780,2406,2994,3650,3517,3518,3991,4500,4182,4181,4525,4766,5035,4899
MAC,Macao China,US$ Mn,,,,,,,,4205,5061,7206,7933,9749,13405,16948,18142,27802,38461,43860,51857,51009
MDG,Madagascar,US$ Mn,58,65,74,92,100,121,115,64,76,157,183,233,270,348,255,307,476,559,574,
MWI,Malawi,US$ Mn,18,26,28,24,38,25,25,33,54,62,29,26,29,31,33,31,31,31,29,32
MYS,Malaysia,US$ Mn,3969,4477,3741,2381,3588,5011,6863,7118,5901,8203,8846,10427,14050,15293,15798,18152,19649,20251,21500,22600
MDV,Maldives,US$ Mn,211,266,286,303,314,321,327,337,402,471,826,1235,1515,1559,1473,1713,1940,1958,2337,2645
MLI,Mali,US$ Mn,25,24,23,25,30,40,88,104,128,140,148,175,221,275,192,205,210,142,178,
MLT,Malta,US$ Mn,656,632,635,653,667,587,561,614,722,767,755,767,965,1082,899,1066,1276,1260,1402,1521
MHL,Marshall Islands,US$ Mn,,,,,,,,,,,3.2,3.1,2.88,2.6,2.9,3.5,4.5,3.9,4.1,5.2
MRT,Mauritania,US$ Mn,11,19,21,20,28,,,,,,,,,,,,,48,41,37
MUS,Mauritius,US$ Mn,430,504,478,496,543,542,623,612,697,856,871,1005,1304,1454,1120,1285,1484,1480,1322,1447
MEX,Mexico,US$ Mn,6179,6756,7376,7493,7223,8294,8401,8858,9362,10796,11803,12177,12919,13370,11513,11992,11869,12739,13949,16208
FSM,Micronesia Federated States of,US$ Mn,,,,,,,,,,,,,,,22,24,22,22,24,
MNG,Mongolia,US$ Mn,21,10,13,35,36,36,39,130,143,185,177,225,312,247,235,244,218,442,189,173
MNE,Montenegro,US$ Mn,,,,,,,,,,,,,630,813,745,713,875,809,880,908
MSR,Montserrat,US$ Mn,17,8,5,6,8,9,8,9,7,9,9,7.7,7.4,7,6.1,5.9,5.2,7,7.6,8.2
MAR,Morocco,US$ Mn,1296,1675,1446,1744,1949,2039,2583,2646,3221,3922,4610,5984,7181,7221,6626,6702,7321,6697,6851,
MOZ,Mozambique,US$ Mn,,49,61,61,61,74,64,63,98,95,130,140,163,190,196,108,138,189,199,207
MMR,Myanmar,US$ Mn,151,181,155,171,189,162,109,120,56,84,67,46,85,68,56,72,325,539,959,1612
NAM,Namibia,US$ Mn,278,293,333,288,287,160,236,218,333,405,349,381,434,382,405,439,518,485,411,408
NPL,Nepal,US$ Mn,177,161,146,189,173,158,144,103,199,230,131,128,200,335,413,344,383,351,436,478
NLD,Netherlands,US$ Mn,6578,6568,6299,6796,6977,7197,6708,7710,9163,10308,8770,9273,11313,12874,12063,11653,12897,12261,13751,14682
NCL,New Caledonia,US$ Mn,108,114,117,110,112,111,94,156,196,241,149,122,142,152,141,129,166,165,168,
NZL,New Zealand,US$ Mn,2318,2553,2211,1857,2234,2272,2340,3159,4232,5098,6486,6148,7190,6961,5979,6523,7295,7142,7496,8400
NIC,Nicaragua,US$ Mn,50,54,80,100,125,129,135,135,160,192,206,231,255,301,334,313,390,421,417,445
NER,Niger,US$ Mn,7,25,28,27,25,23,30,20,27,31,43,36,41,79,66,105,51,50,58,
NGA,Nigeria,US$ Mn,17,35,55,47,54,101,91,139,30,21,54,184,213,569,602,569,623,555,538,539
NOR,Norway,US$ Mn,2238,2256,2135,2116,2278,2050,1958,2179,2500,2980,3494,3791,4503,4853,4199,4692,5329,5437,5655,5650
OMN,Oman,US$ Mn,,193,192,206,206,221,385,393,385,411,429,544,648,796,689,780,995,1096,1221,1354
PAK,Pakistan,US$ Mn,110,105,103,87,74,81,88,97,122,179,182,255,276,316,272,305,373,339,288,283
PLW,Palau,US$ Mn,,,,58,54,45,41,40,41,49,60,57,65,74,73,73,91,105,113,127
PSE,Palestine,US$ Mn,255,242,239,346,377,283,37,38,152,115,52,25,99,146,193,409,615,469,524,543
PAN,Panama,US$ Mn,309,360,377,382,396,458,477,513,585,651,780,960,1185,1408,1484,1745,2519,3013,3233,3470
PNG,Papua New Guinea,US$ Mn,25,14,8,15,6,7,5.2,2.8,4,5.8,3.6,3.9,4.2,2.1,2.1,2.3,4.9,2.4,3.6,2.7
PRY,Paraguay,US$ Mn,137,140,128,111,81,73,69,62,64,70,78,92,102,109,205,217,241,265,273,288
PER,Peru,US$ Mn,428,670,816,845,890,837,733,787,963,1142,1308,1570,1723,1991,2014,2008,2262,2443,3009,3001
PHL,Philippines,US$ Mn,1136,1546,2341,1418,2578,2156,1742,1761,1544,2017,2287,3542,4961,2563,2370,2645,3198,4061,4690,5023
POL,Poland,US$ Mn,6614,8444,8679,7946,6100,5677,4646,4314,4069,5833,6274,7239,10599,11824,9057,9576,10732,10985,11344,11234
PRT,Portugal,US$ Mn,4831,4791,4614,5470,5260,5243,5468,5798,6622,7672,7676,8416,10175,10980,9693,10006,11376,11001,12282,13777
PRI,Puerto Rico,US$ Mn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QAT,Qatar,US$ Mn,,,,,122,128,272,285,369,498,760,874,,,,,1170,2857,3456,4591
MDA,Republic of Moldova,US$ Mn,57,33,50,40,34,39,39,50,54,91,103,117,171,216,173,163,186,198,226,229
ROU,Romania,US$ Mn,590,529,526,260,252,359,362,335,449,503,1052,1308,1610,1991,1229,1136,1421,1463,1591,1826
RUS,Russian Federation,US$ Mn,4312,7102,7164,6508,3723,3429,3572,4040,4502,5530,5870,7628,9447,11842,9366,8830,11328,10759,11988,11759
RWA,Rwanda,US$ Mn,2,4,17,19,17,23,25,31,30,44,49,132,152,186,174,202,252,282,294,304
KNA,Saint Kitts and Nevis,US$ Mn,63,68,72,71,69,58,62,57,75,103,121,132,125,110,83,90,94,95,101,110
LCA,Saint Lucia,US$ Mn,230,237,253,283,263,281,233,210,282,326,382,294,302,311,296,309,321,337,354,
VCT,Saint Vincent and the Grenadines,US$ Mn,53,64,71,73,85,82,89,91,91,96,104,113,110,96,88,86,92,94,92,
WSM,Samoa,US$ Mn,35,40,38,39,42,41,39,45,54,69,73,87,102,111,115,123,134,148,136,145
STP,Sao Tome and Principe,US$ Mn,,,,4.1,9.2,9.9,6.2,6.9,7.4,7.7,7.3,6.7,5,7.7,8.3,11.1,15.9,15,30.6,56
SAU,Saudi Arabia,US$ Mn,,,,,,,,,,6486,4626,4769,5971,5910,5995,6712,8459,7432,7651,8238
SEN,Senegal,US$ Mn,168,156,162,172,174,144,174,190,209,211,242,250,531,543,463,453,468,407,439,
SRB,Serbia,US$ Mn,42,43,45,40,19,30,54,,,,,,866,942,866,799,990,921,1053,1142
SYC,Seychelles,US$ Mn,129,141,157,135,136,139,146,164,171,172,192,228,326,309,257,274,291,388,430,398
SLE,Sierra Leone,US$ Mn,57,29,10,6,6,10,14,38,60,58,64,23,22,34,25,26,44,47,66,35
SGP,Singapore,US$ Mn,7611,7402,6326,4603,5089,5142,4641,4458,3842,5327,6209,7536,9066,10615,9225,14178,18086,18939,19301,19203
SXM,Sint Maarten,US$ Mn,349,322,379,430,443,511,484,489,538,626,659,651,662,663,616,674,719,842,857,914
SVK,Slovakia,US$ Mn,623,673,545,488,461,433,641,736,865,905,1210,1521,2026,2589,2341,2228,2431,2295,2556,2577
SVN,Slovenia,US$ Mn,1084,1240,1181,1088,958,961,1001,1086,1342,1624,1795,1960,2283,2696,2520,2540,2755,2570,2707,2730
SLB,Solomon Islands,US$ Mn,15.7,13.9,7.1,6.6,5.7,3.9,5.2,0.7,1.5,3.5,1.6,21.1,22.6,27.5,33.4,43.5,57.3,54.1,60.6,55.3
ZAF,South Africa,US$ Mn,2126,2615,2851,2854,2800,2677,2569,2923,5712,6513,7516,8120,8779,7956,7624,9085,9515,9996,9245,9338
ESP,Spain,US$ Mn,25368,27168,26185,29117,31214,29802,30550,31880,39634,45067,49565,53160,59910,64422,55748,54305,62447,57877,62584,65100
LKA,Sri Lanka,US$ Mn,226,166,209,230,273,248,213,363,441,513,429,410,385,342,350,576,830,1039,1715,2431
SDN,Sudan,US$ Mn,8,8,4,2,2,5,3,108,17,21,114,194,390,255,231,82,179,772,773,967
SUR,Suriname,US$ Mn,21,14,9,2,9,16,14,3,4,17,45,95,67,77,64,61,61,71,84,95
SWZ,Swaziland,US$ Mn,48,38,40,47,12,21,21,43,70,75,77,75,32,26,40,51,21,30,13,15
SWE,Sweden,US$ Mn,3471,3686,3600,4188,4132,4064,4253,4710,5304,6198,6665,8677,10586,10324,8138,8653,10581,10608,11535,12696
CHE,Switzerland,US$ Mn,9459,8891,7945,7991,6839,6652,6782,7260,8614,9595,10044,10805,12172,14465,14143,14724,17196,16088,16767,17475
SYR,Syrian Arab Republic,US$ Mn,1258,1165,1013,1017,1031,1082,1150,970,773,1800,1944,2025,2884,3150,3757,6190,1753,,,
TJK,Tajikistan,US$ Mn,,,,,,,,1.6,1.5,1.2,2,2,3,4,2,4,3,3,3,4
THA,Thailand,US$ Mn,8035,9089,7660,6174,7028,7483,7075,7901,7856,10043,9577,13393,16667,18163,16058,20116,27186,33856,41780,38433
MKD,The Former Yugoslav Republic of Macedonia,US$ Mn,19,21,14,17,40,38,26,39,57,72,89,129,186,228,218,197,240,234,267,295
TLS,Timor-Leste,US$ Mn,,,,,,,,,,,,20,26,14,16,24,18,21,29,35
TGO,Togo,US$ Mn,13,10,12,11,7,8,11,13,15,19,20,21,34,40,68,66,98,111,125,
TON,Tonga,US$ Mn,10,13,16,8,9,7,6.8,5.9,10.3,12.8,14.9,15.7,14.4,19,16,26.9,30,44,45.2,
TTO,Trinidad and Tobago,US$ Mn,77,108,193,201,210,213,201,242,249,341,453,382,463,397,367,450,472,,,
TUN,Tunisia,US$ Mn,1530,1588,1543,1657,1827,1682,1751,1523,1583,1970,2143,2275,2575,2953,2773,2645,1914,2227,2191,2359
TUR,Turkey,US$ Mn,4957,5650,7002,7177,5203,7636,10067,11901,13203,15888,19191,17457,19430,23365,22980,22585,25054,25345,27997,29552
TKM,Turkmenistan,US$ Mn,,7,33,,,,,,,,,,,,,,,,,
TUV,Tuvalu,US$ Mn,,,,,,,,,,,1.19,1.18,1.51,1.87,1.53,2.35,2.44,2.67,2.37,
UGA,Uganda,US$ Mn,78,117,135,144,151,165,165,171,184,267,380,346,398,498,667,784,960,1135,1334,792
UKR,Ukraine,US$ Mn,191,230,270,315,327,394,573,788,935,2560,3125,3485,4597,5768,3576,3788,4294,4842,5083,1612
GBR,United Kingdom,US$ Mn,20487,21389,22586,23689,22716,21769,18864,20549,22668,28202,30975,35207,39177,36951,30987,32969,35767,37324,41747,46723
TZA,United Republic of Tanzania,US$ Mn,502,473,339,399,464,377,615,635,647,746,824,950,1199,1289,1160,1255,1353,1713,1853,2006
USA,United States of America,US$ Mn,74834,81772,86175,85001,92050,100716,91922,88136,86444,97758,101469,105141,119037,133765,119900,137010,150866,161633,172900,177241
URY,Uruguay,US$ Mn,611,717,759,695,653,713,611,351,345,494,594,598,809,1051,1321,1509,2203,2076,1922,1760
UZB,Uzbekistan,US$ Mn,,,,,,27,22,22,24,28,28,43,51,64,99,121,,,,
VUT,Vanuatu,US$ Mn,45,56,53,60,50,56,46,54,64,75,85,92,119,169,190,217,223,241,287,257
VEN,Venezuela,US$ Mn,849,884,558,703,581,423,615,434,331,502,650,768,895,1030,990,740,739,844,858,
YEM,Yemen,US$ Mn,50,55,70,84,61,73,38,38,139,139,181,181,425,886,899,1161,780,848,940,1026
ZMB,Zambia,US$ Mn,,,29,40,53,67,80,64,88,92,447,506,599,542,474,492,555,518,552,642
