iso3,Country Name,Unit,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
LVA,Latvia,US$ Mn,24,373,326,305,268,247,223,230,328,377,584,704,927,1139,798,648,765,680,715,714
LBN,Lebanon,US$ Mn,,,,,,,,2683,2943,3170,2908,3006,3114,3564,4012,4515,4004,4200,4388,4999
LSO,Lesotho,US$ Mn,13,12,14,13,14,192,163,162,238,271,262,260,268,243,239,270,290,248,211,172
LBR,Liberia,US$ Mn,,,,,,,,,,14,16,17,21,30,29,63,60,116,126,94
LBY,Libya,US$ Mn,76,67,269,281,402,397,445,586,557,603,680,668,889,1277,1587,2047,2269,2557,2425,
LTU,Lithuania,US$ Mn,106,266,277,292,341,253,219,326,471,636,743,909,1144,1530,1119,849,859,925,1069,1058
LUX,Luxembourg,US$ Mn,1193,1189,1115,1335,1316,1309,1464,1942,2423,2911,2959,3004,3410,3772,3594,3569,3513,3686,3948,3541
MAC,Macao China,US$ Mn,,,,,,,,492,455,512,552,575,695,828,915,1154,1374,1597,1703,1831
MDG,Madagascar,US$ Mn,59,72,80,119,111,115,130,160,64,93,74,85,97,141,111,104,150,108,134,
MWI,Malawi,US$ Mn,39,50,70,39,47,50,40,78,57,60,54,55,57,61,63,61,61,65,62,74
MYS,Malaysia,US$ Mn,2314,2569,2590,1785,1973,2075,2614,2618,2846,3178,3711,4257,5601,6709,6508,8324,10180,12217,12236,12369
MDV,Maldives,US$ Mn,31,38,40,42,45,46,45,46,46,56,70,78,122,167,174,205,184,164,198,228
MLI,Mali,US$ Mn,49,40,38,38,40,40,36,36,48,66,77,120,137,147,102,111,119,102,118,
MLT,Malta,US$ Mn,214,219,190,193,201,200,180,154,215,255,268,320,237,307,291,309,333,339,384,397
MHL,Marshall Islands,US$ Mn,,,,,,,,,,,14.4,10.9,11.4,11.6,12.35,11.09,12.7,12.9,12.7,12.3
MRT,Mauritania,US$ Mn,23,36,48,42,55,,,,,,,,,,,,,59,58,62
MUS,Mauritius,US$ Mn,159,179,173,185,187,182,198,204,216,255,275,327,357,452,354,398,400,366,438,481
MEX,Mexico,US$ Mn,3171,3387,3892,4209,4541,5499,5702,6060,6253,6959,7600,8108,8462,8568,7207,7255,7832,8449,9122,9606
FSM,Micronesia Federated States of,US$ Mn,,,,,,,,,,,,,,,10,12,12,13,12,
MNG,Mongolia,US$ Mn,20,19,14,45,41,51,55,119,138,193,157,188,205,217,210,265,344,357,399,501
MNE,Montenegro,US$ Mn,,,,,,,,,,,,,37,43,49,46,39,39,48,47
MSR,Montserrat,US$ Mn,4,4,1,1,1,2,2,2,2,2,2.6,2.8,2.9,3.2,3,2.9,3.2,3,3.1,
MAR,Morocco,US$ Mn,302,300,315,423,452,425,389,444,548,574,612,693,880,1090,1106,1203,1363,1253,1318,
MOZ,Mozambique,US$ Mn,,68,82,97,136,108,114,113,140,134,176,179,180,208,212,216,230,187,241,253
MMR,Myanmar,US$ Mn,18,28,33,27,21,25,27,29,32,29,31,37,36,49,52,53,123,257,115,121
NAM,Namibia,US$ Mn,90,89,99,88,89,86,71,65,101,123,108,118,132,114,121,146,207,154,124,150
NPL,Nepal,US$ Mn,136,125,103,78,71,73,80,69,81,154,163,185,274,381,434,402,320,413,422,493
NLD,Netherlands,US$ Mn,11674,12276,11227,12005,12029,12191,11994,12976,15265,16348,13724,14588,17277,19805,18628,19044,20741,19678,20355,21390
NCL,New Caledonia,US$ Mn,,,,,,,,104,128,167,122,129,149,168,170,179,176,159,164,
NZL,New Zealand,US$ Mn,1259,1466,1461,1383,1430,1235,1255,1386,1649,2229,2671,2535,3077,3006,2580,3039,3461,3715,3851,4106
NIC,Nicaragua,US$ Mn,40,60,65,70,78,78,76,69,75,89,91,97,178,220,192,119,135,136,143,161
NER,Niger,US$ Mn,13,45,38,35,31,26,26,17,22,22,30,28,29,68,54,92,40,36,47,
NGA,Nigeria,US$ Mn,906,1304,1816,1567,620,591,831,881,1795,,240,3279,5589,9779,5012,5566,6598,6141,5864,5269
NOR,Norway,US$ Mn,4232,4491,4448,4723,4894,4601,4410,5189,6716,8489,9678,10721,12121,14100,12101,13472,15823,16603,18465,18853
OMN,Oman,US$ Mn,47,349,347,396,441,471,518,530,630,644,668,712,752,856,902,1001,1168,1281,1388,1854
PAK,Pakistan,US$ Mn,446,795,353,357,184,250,252,255,925,1268,1280,1545,1593,1518,685,925,1130,1414,1083,1217
PLW,Palau,US$ Mn,,,,2,2,6.3,7.4,8.6,7.4,9,8,8.1,8.4,8.1,6.4,6,8.3,10.2,10.2,9.4
PSE,Palestine,US$ Mn,162,191,218,271,283,309,384,388,378,401,214,208,384,467,471,515,595,643,638,578
PAN,Panama,US$ Mn,121,140,165,181,190,188,174,179,208,239,271,271,307,366,338,398,505,515,619,892
PNG,Papua New Guinea,US$ Mn,58,72,78,52,53,50,38,60,52,71,56,16,21,29,113,119,161,155,153,125
PRY,Paraguay,US$ Mn,133,139,139,143,109,81,72,65,67,71,79,92,109,128,131,145,174,207,243,256
PER,Peru,US$ Mn,297,350,434,453,443,423,545,606,641,643,752,798,968,1122,1088,1268,1356,1439,1601,1584
PHL,Philippines,US$ Mn,422,1266,1935,1950,1605,1642,1711,1626,1413,1275,3018,2754,3030,3789,3671,5487,5616,6548,7833,11763
POL,Poland,US$ Mn,5500,6240,5750,4430,3600,3315,3496,3278,3085,4776,5548,7224,7753,9904,7374,8570,8461,8758,8821,8868
PRT,Portugal,US$ Mn,2099,2292,2070,2329,2261,2228,2114,2125,2409,2763,3050,3340,3939,4328,3777,3906,4144,3784,4142,4407
PRI,Puerto Rico,US$ Mn,833,821,869,874,815,931,1004,928,985,1085,1143,1205,1192,1213,919,809,816,787,782,763
QAT,Qatar,US$ Mn,,,,,320,307,366,423,471,691,1759,3751,,,,,1807,5648,6616,8682
MDA,Republic of Moldova,US$ Mn,56,52,65,59,57,73,75,95,99,113,141,190,233,288,243,241,277,308,334,351
ROU,Romania,US$ Mn,697,665,681,458,402,425,449,396,479,539,925,1310,1543,2176,1472,1636,1966,1833,2059,2412
RUS,Russian Federation,US$ Mn,11599,10011,10113,8677,7097,8848,9285,10918,12880,15285,16972,17484,20424,23169,21019,26693,32902,42798,53453,50428
RWA,Rwanda,US$ Mn,10,13,13,16,18,22,20,24,26,31,37,41,47,70,72,77,89,79,101,
KNA,Saint Kitts and Nevis,US$ Mn,5,5,6,6,7,9,8,8,8,10,11,14,12,15,11,13,14,15,16,16
LCA,Saint Lucia,US$ Mn,25,29,29,31,33,33,32,34,36,37,39,39,42,45,47,48,48,45,46,
VCT,Saint Vincent and the Grenadines,US$ Mn,7,8,7,8,9,10,12,10,13,14,15,16,20,18,14,15,13,14,14,
WSM,Samoa,US$ Mn,3,4,5,4,4,,,,,5,12.5,9.8,10.2,10.9,10.7,14.9,12.9,10,2.4,1.5
STP,Sao Tome and Principe,US$ Mn,,,,0.6,0.6,0.6,0.6,0.5,0.5,0.6,0.05,0.2,0.1,0.01,0.01,0.05,0.35,2.4,1.2,16.5
SAU,Saudi Arabia,US$ Mn,,,,,,,,,,4428,9087,12979,20170,15129,20419,21135,17271,17023,17660,24118
SEN,Senegal,US$ Mn,72,53,53,54,54,47,43,43,55,57,65,54,253,175,156,160,151,144,150,
SRB,Serbia,US$ Mn,,,,,,,,,,,,,1042,1251,960,954,1105,1031,1117,1179
SYC,Seychelles,US$ Mn,28,28,28,26,21,24,23,33,36,34,39,36,43,39,35,38,40,35,37,37
SLE,Sierra Leone,US$ Mn,50,36,18,13,44,32,42,39,37,30,32,12,14,24,13,13,14,15,20,19
SGP,Singapore,US$ Mn,4663,5015,4358,3222,4217,4535,6600,8212,8382,9291,10070,11268,13503,16340,15704,18700,21498,22957,24178,23931
SXM,Sint Maarten,US$ Mn,59,62,65,99,171,127,137,140,144,80,94,86,83,88,81,83,88,92,89,88
SVK,Slovakia,US$ Mn,321,482,439,475,339,296,289,442,573,745,844,1060,1533,2165,2098,1944,2186,2138,2367,2468
SVN,Slovenia,US$ Mn,575,604,518,561,542,511,528,608,753,868,950,974,1144,1357,1278,1214,1143,932,922,974
SLB,Solomon Islands,US$ Mn,13.5,15.2,9,5.8,7.2,9.6,6.6,5.8,4.4,9,4.7,22.2,29,34,31.8,47.2,64.9,67.9,67.7,64.4
ZAF,South Africa,US$ Mn,1849,1755,1961,1908,2028,2085,1878,1811,2889,3157,3374,3384,3927,4404,4152,5595,5283,4069,3429,3169
ESP,Spain,US$ Mn,4539,5057,4681,5288,5862,5922,6529,7295,9071,12153,15175,16824,19870,20540,17133,16930,17375,15401,16434,17969
LKA,Sri Lanka,US$ Mn,186,176,180,202,218,240,250,263,279,296,314,373,393,428,411,453,501,710,1188,1263
SDN,Sudan,US$ Mn,43,28,33,29,35,55,74,91,119,176,667,1414,1477,1268,868,1127,937,699,460,439
SUR,Suriname,US$ Mn,3,8,11,11,13,23,23,10,6,14,17,18,22,30,32,39,42,51,70,87
SWZ,Swaziland,US$ Mn,43,42,38,58,34,31,30,26,22,48,49,49,51,46,72,61,69,72,76,89
SWE,Sweden,US$ Mn,5448,6253,6518,7719,8022,8048,6921,7301,8296,10165,10306,10378,12512,13630,11268,13065,15446,15628,17620,18520
CHE,Switzerland,US$ Mn,7420,7626,6987,6814,5767,5419,5141,5537,6883,8104,8803,9237,10109,10912,10934,11173,13753,15183,16147,17128
SYR,Syrian Arab Republic,US$ Mn,498,513,545,583,631,669,670,760,700,650,550,540,645,800,882,1510,774,,,
TJK,Tajikistan,US$ Mn,,,,,,,,1.7,2.1,3.4,4,6,7,11,6,18,8,7,7,10
THA,Thailand,US$ Mn,4271,4286,3416,1960,2474,2772,2924,3303,2921,4514,3800,4598,5143,5003,4433,5623,5716,6242,6475,7070
MKD,The Former Yugoslav Republic of Macedonia,US$ Mn,27,26,27,32,32,34,39,44,48,55,62,71,102,136,100,92,113,111,131,149
TLS,Timor-Leste,US$ Mn,,,,,,,,,,,,2,3,40,58,52,49,73,40,66
TGO,Togo,US$ Mn,18,3,5,3,3,2,5,5,7,8,8,5,17,19,47,46,57,34,45,
TON,Tonga,US$ Mn,,,,,,,3.2,3.2,3.3,6.1,3.8,8.1,9.9,8.7,7.2,8.6,13.7,15.8,20.3,
TTO,Trinidad and Tobago,US$ Mn,69,76,72,67,83,147,151,186,107,96,180,93,94,75,105,71,150,,,
TUN,Tunisia,US$ Mn,251,251,235,235,239,263,273,260,300,340,374,410,437,458,415,547,607,593,675,681
TUR,Turkey,US$ Mn,911,1265,1716,1754,1471,1713,1738,1880,2113,2524,3104,2989,3649,3824,4575,5194,4883,4094,4817,5072
TKM,Turkmenistan,US$ Mn,,73,125,,,,,,,,,,,,,,,,,
TUV,Tuvalu,US$ Mn,,,,,,,,,,,4.04,4.96,5.89,7.23,6.28,7.41,9.65,9.5,6.05,
UGA,Uganda,US$ Mn,80,135,113,95,,,,,,108,124,123,132,156,192,320,405,484,555,222
UKR,Ukraine,US$ Mn,210,308,305,340,364,470,566,657,789,2463,2805,2834,3569,4023,3330,3742,4461,5104,5763,5061
GBR,United Kingdom,US$ Mn,24926,25962,28529,33452,37034,38262,37931,41744,47853,56444,62318,66364,75810,75731,55975,55663,56767,57062,58351,63424
TZA,United Republic of Tanzania,US$ Mn,360,412,407,493,370,337,327,337,353,445,554,534,595,721,766,830,899,967,1034,1102
USA,United States of America,US$ Mn,46379,49672,53808,58451,61567,67860,63689,62671,61966,71034,79990,84206,89235,92546,81421,86623,89701,100337,104107,110788
URY,Uruguay,US$ Mn,236,192,264,265,280,281,257,178,169,194,252,213,239,358,336,419,644,878,1312,1356
UZB,Uzbekistan,US$ Mn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VUT,Vanuatu,US$ Mn,5,5,5,8,9,9,8,9,12,13,11,9,11,29,24,30,35,37,41,37
VEN,Venezuela,US$ Mn,1714,2233,755,891,1039,1058,1108,981,859,1077,1276,1229,1542,1812,1609,1617,2211,2377,3230,
YEM,Yemen,US$ Mn,76,78,124,130,136,70,79,78,77,126,167,162,184,183,214,183,182,73,86,77
ZMB,Zambia,US$ Mn,,,26,24,43,44,44,47,49,55,57,63,73,118,96,105,111,165,210,222
